Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,Alabama,1,2018,2018,60-64 years ,60-64,Female,F,23,168342,13.7
,Brain and Other Nervous System,31010-31040,Alabama,1,2018,2018,65-69 years,65-69,Female,F,21,145302,14.5
,Brain and Other Nervous System,31010-31040,Alabama,1,2018,2018,70-74 years,70-74,Female,F,23,117686,19.5
,Brain and Other Nervous System,31010-31040,Alabama,1,2018,2018,75-79 years,75-79,Female,F,19,84846,22.4
,Brain and Other Nervous System,31010-31040,Alabama,1,2018,2018,80-84 years,80-84,Female,F,18,58233,30.9
,Brain and Other Nervous System,31010-31040,Arizona,4,2018,2018,55-59 years,55-59,Female,F,21,227767,9.2
,Brain and Other Nervous System,31010-31040,Arizona,4,2018,2018,60-64 years ,60-64,Female,F,23,224349,10.3
,Brain and Other Nervous System,31010-31040,Arizona,4,2018,2018,65-69 years,65-69,Female,F,22,208318,10.6
,Brain and Other Nervous System,31010-31040,Arizona,4,2018,2018,70-74 years,70-74,Female,F,20,178478,11.2
,Brain and Other Nervous System,31010-31040,Arizona,4,2018,2018,75-79 years,75-79,Female,F,17,127735,13.3
,Brain and Other Nervous System,31010-31040,Arizona,4,2018,2018,80-84 years,80-84,Female,F,18,80665,22.3
,Brain and Other Nervous System,31010-31040,Arkansas,5,2018,2018,65-69 years,65-69,Female,F,21,86261,24.3
,Brain and Other Nervous System,31010-31040,Arkansas,5,2018,2018,75-79 years,75-79,Female,F,16,52169,30.7
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,1-4 years,01. Apr,Female,F,36,957727,3.8
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,5-9 years,05. Sep,Female,F,26,1217966,2.1
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,10-14 years,Oct 14,Female,F,35,1245715,2.8
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,15-19 years,15-19,Female,F,17,1244599,1.4
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,20-24 years,20-24,Female,F,16,1309503,1.2
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,25-29 years,25-29,Female,F,35,1508473,2.3
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,30-34 years,30-34,Female,F,30,1411558,2.1
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,35-39 years,35-39,Female,F,40,1352266,3
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,40-44 years,40-44,Female,F,36,1242502,2.9
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,45-49 years,45-49,Female,F,55,1282226,4.3
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,50-54 years,50-54,Female,F,57,1251079,4.6
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,55-59 years,55-59,Female,F,107,1277279,8.4
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,60-64 years ,60-64,Female,F,115,1168986,9.8
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,65-69 years,65-69,Female,F,106,978836,10.8
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,70-74 years,70-74,Female,F,114,769806,14.8
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,75-79 years,75-79,Female,F,70,540682,12.9
,Brain and Other Nervous System,31010-31040,California,6,2018,2018,80-84 years,80-84,Female,F,51,380970,13.4
